RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,change
9,0,California,State,CA,202680,203541,204625,206906,209350,211895,214538,217340,220157,222827,225501,228128,230236,232418,234913,238056,240961,243485,245875,248263,250641,252885,255002,256997,258532,260223,262219,264970,268048,271414,275368,279573,283770,287709,291624,295511,298802,301901,305286,309295,313682,317442,321645,326132,331275,336090,340711,345204,349993,355480,361676,368740,376897,385911,394808,403112,411021,418742,425260,431866,437550,444238,451149,459114,466413,473002,479393,486034,492683,499156,503924,508351,511931,515248,518515,521373,524345,526040,526315,526049,524454,523089,521668,520551,519677,518495,516706,514465,510736,506797,501570,496467,490515,484383,478327,471673,465280,457217,447549,436312,424796,414085,403020,392600,383131,375197,367026,359231,352059,347560,343492,339407,335408,332120,329896,327914,326426,325910,327649,330283,332462,332846,334054,335551,337150,336428,334706,332249,330103,327762,325840,324656,323692,322648,320805,319033,316096,314277,312599,310581,308097,305567,304904,304314,304101,303844,303988,304695,305955,307753,309809,312149,314781,318330,322255,327738,333333,339801,346387,353494,360648,368158,375305,381923,387770,393270,398850,404141,409564,414224,416709,417639,417976,418525,418991,418787,419482,421116,423877,426362,428995,431809,434874,437026,439330,440987,441664,442977,445205,449005,452042,456205,460100,463516,465299,467619,469862,472244,472867,474481,476331,479960,482840,485415,488343,491357,494362,496865,499841,503201,504756,506478,508851,513058,517385,521687,526429,531570,535984,539430,542191,544962,546711,548126,549031,550799,551874,551728,551094,550205,550031,550767,551825,552725,552686,553110,554193,556159,557614,559665,562271,566267,570873,574321,574218,573132,575412,582178,590829,599189,606889,613860,620138,627288,635197,645561,659985,677353,696100,709910,719808,724837,730348,737176,747423,759599,774654,789198,800172,18.2%
54,1,Texas,State,TX,114781,114906,114945,115153,115203,115275,115279,115497,115750,116014,116348,116730,116967,116924,116716,116635,116729,116867,116991,117081,117189,117314,117386,117455,117523,117722,118086,118554,119015,119515,119997,120518,120933,121287,121592,121859,122116,122312,122569,122791,123009,123209,123398,123641,123834,124051,124178,124304,124848,,,129042,130001,130468,131034,131535,132175,132725,133210,133633,134217,134722,135226,135611,136010,136418,136735,137036,137341,137552,137854,138049,138277,138574,138965,139492,140124,140754,141351,141846,142421,143186,143845,144508,144734,144836,144833,145215,145709,146271,146695,147185,147648,148059,148375,148681,148278,147753,147104,146972,146804,146602,146439,145965,145345,144654,144031,143469,142945,142802,142809,142896,142926,142885,142905,142693,142483,142215,142347,142491,142489,142460,142548,142855,143095,143066,142669,142036,141375,140750,140111,139596,139138,138670,138252,137868,137574,137202,137056,136930,136878,136692,136409,136116,136029,136280,136730,137136,137564,137978,138482,138844,139053,139217,139581,140097,140788,141528,142442,143394,144338,145279,146235,147131,148058,149056,150117,151081,152017,153028,153961,154809,155662,156653,157545,158388,159173,160065,161079,162188,163349,164522,165721,166899,167997,169100,170106,170930,171657,172552,173512,174591,175668,176712,177629,178540,179601,180632,181634,182405,183233,184104,185321,186694,187909,189075,189977,190951,191752,192619,193304,194008,194778,195768,196819,197851,198856,199866,200911,201991,202996,203991,204843,205819,206671,207613,208446,209435,210591,211678,212414,212856,213277,213760,214271,214908,215687,216139,216527,216738,217342,217886,218670,219351,219930,220501,221313,222713,224645,226912,229191,231378,233661,236455,239426,243098,247458,252927,258616,264321,269202,273500,277158,281446,286137,291610,297057,303137,308628,14.7%
43,2,New York,State,NY,150136,150904,151546,152901,154125,155383,156408,157257,158000,158850,159981,161195,162356,163322,164277,165297,166388,167544,168728,169947,171092,172317,173609,175007,176405,177688,178786,179914,181103,182482,183915,185520,187115,188660,190149,191750,193330,194925,196727,198420,200132,201762,203509,205537,207690,209841,211573,213151,214805,216412,217722,219102,220778,222836,225074,227275,229611,231817,234093,236218,238293,240349,242202,244240,246411,248630,251006,253479,256077,258659,260861,263156,265079,266881,268289,269498,270684,271961,273130,274150,274668,275054,275202,275469,275657,275810,276094,276106,276345,276268,276331,276414,276384,276628,276786,276807,276805,276534,276324,275844,275113,274185,272985,271777,270413,268730,266943,265312,263822,262579,261458,260522,259631,258604,257561,256420,255553,254903,254526,254249,254025,254057,254137,254617,255004,255578,255814,255514,254765,253592,252536,251477,250850,250334,250049,249510,248978,248124,247396,246685,246050,245391,244649,244080,243564,243032,242658,242554,242770,243044,243220,243314,243322,243197,243213,243367,243630,244137,244651,245561,246477,247507,248370,249007,249569,250198,250876,251473,252080,252711,253495,254288,255024,255660,256040,256365,256642,256940,257243,257668,258042,258335,258514,258991,259616,260432,261195,261861,262452,262873,263310,263608,263904,264443,265214,266185,267152,268012,268794,269602,270368,271250,272207,273347,274433,275194,275928,276883,278259,279895,281375,282711,283914,285168,286492,287670,289017,290419,291970,293390,294684,295916,297220,298617,300091,301417,302677,303801,304939,306022,307249,308220,309061,309550,309861,310037,310127,310282,310691,311396,312346,313431,314414,315344,315803,316339,317442,319285,321967,325340,329053,332703,336022,339342,342591,345813,349906,354859,360509,365358,369406,372471,375363,378224,381530,385322,390086,395046,400158,12.2%
14,3,Florida,State,FL,116256,116600,116963,117667,118337,119004,119660,120335,121022,121724,122464,123236,124007,124819,125678,126613,127584,128589,129681,130838,132012,133175,134270,135364,136408,137407,138406,139482,140628,141814,143006,144311,145546,146788,147942,149278,150637,152070,153534,155113,156724,158289,159833,161440,163104,164777,166398,167939,169507,171098,172899,174878,177195,179807,182687,185855,188955,191864,194563,197431,200481,203797,207565,211978,216803,222011,227537,233175,238542,243335,247767,251946,255887,259553,263541,267977,271971,275127,277035,278247,278477,278111,277474,276402,275208,274008,272623,271022,268860,266230,263101,259736,256354,252880,249206,245515,241372,237446,233131,229116,224632,220464,216121,211568,206966,202308,197770,193477,189450,185977,182624,179222,175977,172925,170456,168091,165922,164155,163143,162293,161616,160988,160613,160243,159686,158827,157669,156262,154786,153262,151732,150308,148842,147489,146063,144727,143376,142220,141151,140380,139812,139551,139429,139379,139443,139549,139865,140257,140731,141231,141892,142691,143669,144812,146006,147384,148957,150691,152385,153966,155735,157446,159415,161448,163692,165827,167903,169873,171678,173226,174537,175486,176402,177140,177989,178586,179407,180553,181752,183028,184130,185317,186258,187144,188076,189116,190104,191267,192559,193954,195249,196760,198263,199813,200958,202194,203320,204644,205956,207264,208438,209601,210960,212404,213736,214885,215952,217328,218671,220040,221182,222491,223759,225087,226348,227764,228828,229987,231254,232776,234291,235612,236853,237981,239096,240218,241495,242849,244105,244923,245487,245983,246410,246906,247444,247823,248128,248574,249287,250009,251050,252366,253933,255386,256578,257484,258272,259827,261939,264484,267094,269810,272975,276124,279846,283870,289325,296205,304186,312273,320207,327625,334973,341813,349404,357369,367120,377855,388635,15.0%
21,4,Illinois,State,IL,148632,148958,149401,150273,151171,152045,153008,154127,155282,156426,157465,158452,159373,160199,161165,162098,163230,164279,165381,166500,167685,168892,169936,170811,171615,172511,173645,174595,175630,176540,177747,179021,180284,181459,182319,183304,184250,185390,186424,187600,188621,189568,190478,191687,193064,194378,195457,196411,197535,198657,199832,201141,202587,204187,205649,207100,208335,209607,210891,212347,213661,215015,216347,217871,219456,221016,222501,223967,225613,227190,228558,229869,231203,232499,233787,234876,236061,236780,237390,237862,238235,238420,238529,238775,239304,239750,240034,240025,239863,239562,239094,238594,237811,237033,236244,235246,234189,,,228927,,226187,225278,222473,220666,217625,215185,211996,208648,206260,203750,202522,200612,199325,198026,196809,194851,193073,191378,190824,189906,189557,188296,188739,188169,188803,186774,185614,183412,181980,179640,177586,175773,174369,173396,171999,171204,169900,169394,168207,167190,165196,163956,162120,161211,159527,159322,158999,159307,159214,158612,157974,157183,157430,157742,158002,158531,159331,160099,161078,161945,163411,164581,166057,167239,168817,169542,170519,171105,172187,172779,173140,173728,174599,175312,175549,175842,176075,176487,176921,177322,177815,178537,179480,180254,180375,180496,180412,180483,180500,180676,181272,182092,183561,184730,185622,186060,186408,186885,187229,187608,188087,188937,190096,191474,192718,194009,194982,195742,195991,196237,196524,197120,197786,198613,199631,200793,201840,202504,202894,203243,203524,203830,204020,204497,204908,205495,205979,206379,206987,207424,207893,208006,208032,208054,208085,208100,208042,208046,208252,208662,209108,209526,209692,209597,209596,210339,211648,213856,216051,218321,220202,221688,223761,225674,228217,230555,233744,237237,240667,243227,245482,247763,250289,252661,255047,257746,260620,263835,11.5%
47,5,Pennsylvania,State,PA,106444,106805,107096,107663,108154,108601,109052,109447,109863,110260,110746,111253,111759,112247,112780,113358,113846,114319,114817,115365,115902,116377,116897,117386,117897,118441,119038,119700,120375,121086,121868,122750,123638,124495,125190,125898,126590,127338,128056,128842,129802,130924,132096,133154,134203,135184,136060,136843,137545,138487,139403,140453,141673,143080,144709,146172,147649,148855,150180,151466,152836,153828,154869,156064,157564,159268,161035,162856,164486,165948,167289,168559,169651,170589,171501,172520,173698,174978,176079,176894,177401,177821,178155,178441,178759,179173,179709,180146,180587,180880,181259,181462,181516,181558,181654,181702,181564,181505,181388,181322,181020,180609,179867,178960,178066,177345,176635,175825,175016,174592,174424,174293,173974,173568,173156,172648,172202,171940,171955,172086,172399,172788,173339,173808,174050,173983,173573,172949,172072,171102,170061,169134,168354,167741,167286,166721,166068,165213,164432,163826,163421,163053,162647,162255,161927,161688,161590,161619,161700,161651,161472,161266,161076,160955,160876,160918,161080,161351,161704,162169,162644,163137,163573,163858,164098,164221,164442,164612,164861,165145,165444,165657,165824,166069,166308,166428,166427,166413,166466,166646,166807,166974,167279,167786,168380,168713,168841,168955,169164,169444,169698,169963,170368,170944,171348,171688,171868,172322,172726,173212,173550,173950,174413,175156,175668,176133,176602,177397,178242,178925,179525,180140,180855,181666,182413,183228,184139,185082,186367,187480,188565,189144,189697,190220,190855,191492,192267,193065,193924,194681,195234,195662,196201,196804,197453,198041,198591,199219,199862,200587,201293,201950,202723,203497,204006,204663,205798,,209912,,215152,217905,220688,223151,225670,228366,231953,235831,239310,242104,244273,246269,248143,250389,252932,255719,258355,260979,263381,15.2%
44,6,Ohio,State,OH,110978,111142,111316,111768,112315,112903,113400,113862,114323,114776,115234,115687,116123,116496,116884,117274,117653,117972,118323,118706,119087,119451,119777,120088,120357,120621,120905,121192,121494,121789,122120,122440,122761,123093,123456,123826,124168,124522,124855,125213,125555,125949,126376,126879,127370,127846,128215,128567,128868,129241,129630,130004,130365,130713,131098,131418,131734,132035,132361,132670,133033,133430,133834,134207,134517,134847,135140,135471,135766,136071,136363,136617,136810,136959,137101,137267,137439,137582,137704,137756,137737,137667,137522,137326,137141,137046,136869,136690,136490,136331,136081,135798,135617,135360,134887,134333,133778,133274,132888,132553,132311,131994,131695,131291,130813,130153,129528,128727,127822,126863,126085,125642,125367,125096,124701,124271,123902,123658,123343,123059,122761,122715,122653,122713,122714,122661,122334,121900,121338,120720,119961,119130,118381,117679,117176,116628,116134,115662,115385,115162,114885,114514,114120,113766,113309,112871,112618,112578,112559,112504,112487,112530,112577,112581,112536,112512,112539,112669,112817,113122,113580,114189,114753,115201,115474,115794,116100,116359,116322,116227,116151,116272,116521,116869,117222,117353,117471,117486,117726,118056,118579,119146,119702,120229,120803,121336,121819,122187,122501,122773,123093,123402,123827,124256,124854,125455,125999,126450,126871,127321,127796,128288,128876,129551,130291,131038,131808,132640,133429,134125,134684,135332,136037,136851,137578,138286,138809,139518,140362,141454,142473,143290,144035,144567,145083,145597,146269,147010,147890,148765,149660,150288,150979,151587,152247,152752,153358,153938,154394,154909,155645,156503,157407,158270,159190,160085,161068,162416,163931,165693,167759,169725,172009,174102,176591,178948,181492,184133,186755,189085,191152,192881,194604,196699,199021,201626,203924,206511,208784,15.0%
30,7,Michigan,State,MI,123238,123443,123836,124534,125390,126202,127123,127972,128751,129476,130286,131156,131962,132596,133169,133704,134333,134893,135440,136007,136632,137257,137800,138322,138913,139446,139953,140315,140670,141036,141337,141690,141989,142404,142776,143182,143562,143945,144167,144433,144862,145403,145895,146357,146868,147490,147998,148500,148983,149386,149834,150130,150538,150911,151349,151762,152152,152604,152990,153385,153809,154123,154449,154702,155070,155314,155476,155688,155953,156224,156410,156602,156803,156974,157018,156907,156685,156385,156077,155711,155316,154862,154341,153701,152974,152279,151537,150831,149939,149179,148184,147416,146292,145243,144027,143054,141990,140704,139134,137340,135716,134146,132539,130503,128651,127142,125750,123909,121556,119285,117170,115491,114018,112658,111564,110414,109426,108219,107267,106382,105880,105280,104970,104880,105116,105361,105169,104716,103922,103128,102176,101328,100390,99663,99006,98407,97883,97365,97052,96939,96916,96848,96637,96398,96212,96104,96445,96866,97508,98165,99012,99751,100321,100941,101567,102119,102728,103649,104899,106226,107548,108913,110399,111853,113212,114338,115396,116498,117713,118850,119859,120796,121759,122814,123672,124227,124474,124695,125049,125450,125989,126642,127479,128338,129056,129709,130222,130674,130924,131137,131529,132212,133007,133851,134510,135541,136578,137665,138460,139083,139852,140637,141429,142207,143158,144272,145508,146805,148161,149282,149961,150514,151125,151861,152762,153713,155048,156512,157938,159229,160356,161465,162346,163107,163846,164567,165366,166341,167315,168336,169209,170091,170998,171754,172291,172472,172835,173222,173913,174506,175410,176375,177760,179008,179454,179241,179473,180903,183148,185645,188193,190722,193066,195557,198058,200423,203245,206675,210257,213414,215724,217937,219550,221656,224140,226995,229791,232567,234954,15.3%
16,8,Georgia,State,GA,131819,132263,132706,133594,134440,135272,136074,136939,137817,138752,139672,140690,141693,142552,143304,143980,144730,145417,146089,146776,147461,148146,148749,149329,149843,150402,150915,151449,151940,152416,152833,153236,153668,154140,154548,154883,155206,155547,155947,156299,156608,156870,157128,157486,157861,158237,158555,158920,159244,159618,159986,160481,160960,161401,161806,162314,162867,163467,163950,164378,164710,165063,165446,166004,166668,167401,168032,168648,169267,169884,170474,171015,171577,172152,172686,173218,173710,174278,174868,175475,175978,176416,176701,177090,177421,177821,178187,178588,178899,179076,179125,179126,178928,178634,178103,177636,176836,176015,175009,174281,173556,172761,171757,170597,169393,168017,166202,164033,161961,160237,158718,157008,155266,153682,152459,151421,150378,149294,148326,147559,146765,146121,145633,145501,145318,144964,144031,142825,141214,139839,138329,136997,135613,134571,133442,132102,130442,128954,127805,127101,126637,126246,125843,125041,124472,123948,124162,124381,124760,125164,125689,126030,126128,126288,126857,127622,128666,129760,130952,131997,133132,134353,135617,136979,138375,139792,141050,142372,143551,144684,145653,146616,147518,148318,149102,149753,150437,151072,151799,152529,153257,153915,154535,155291,156235,157182,157909,158534,159163,159798,160510,161287,162206,163081,164052,165080,166050,166780,167346,167824,168266,168917,169743,170819,171685,172611,173446,174402,175345,176357,177472,178519,179889,181201,182670,184136,185635,187115,188322,189582,190824,192056,193298,194502,195789,197060,198300,199502,200517,201529,202621,203733,204685,205278,205906,206647,207529,208313,208798,209390,210050,211216,212231,213259,213952,214801,215935,217457,219357,221543,224064,226729,229666,232867,236233,239943,244204,249344,254859,260441,265759,271205,276668,282955,289106,295246,300761,306519,311832,16.1%
36,9,North Carolina,State,NC,135079,135410,135693,136282,136834,137377,137865,138306,138738,139219,139797,140411,141062,141511,141911,142195,142545,142858,143133,143469,143795,144174,144422,144664,144879,145095,145322,145454,145671,145856,146128,146359,146590,146820,147030,147269,147512,147758,147999,148192,148409,148598,148842,149146,149456,149760,150021,150348,150689,151055,151376,151720,152030,152423,152808,153231,153682,154180,154690,155196,155548,156001,156407,157017,157620,158392,159213,160103,160931,161817,162614,163400,164114,164840,165648,166507,167447,168352,169284,170245,171149,171958,172597,173191,173827,174415,175122,175827,176606,177325,177907,178444,178831,179132,179341,179456,179528,179559,179633,179646,179542,179208,178719,178202,177669,177132,176406,175552,174641,174072,173608,173073,172313,171497,170727,169810,169042,168427,168057,167624,167229,166774,166459,166368,166344,166155,165588,164881,164121,163408,162664,161955,161202,160521,159802,159018,158283,157632,157070,156461,155952,155311,154701,154117,153709,153448,153343,153480,153491,153356,153178,153180,153167,153189,153216,153293,153459,153692,154144,154602,155122,155585,156049,156516,156924,157398,157819,158403,158934,159551,160010,160383,160643,160825,160969,161025,161161,161330,161682,162065,162571,163130,163815,164392,164865,165305,165857,166482,167017,167500,167912,168307,168754,169303,169791,170402,171115,172014,172857,173653,174505,175365,176301,177275,178198,179033,179898,180832,181726,182515,183192,183967,184846,185946,187033,188176,189299,190495,191540,192457,193380,194383,195528,196602,197691,198649,199758,200837,201944,202894,203754,204676,205475,206286,207004,207732,208554,209522,210535,211471,212221,213190,214185,215291,216319,217348,218596,220070,221885,223962,226225,228740,,235427,239125,242620,246779,251823,257658,263808,269612,274833,279545,284794,290497,296691,302812,309302,315331,15.9%
