SUMLEV,REGION,DIVISION,STATE,NAME,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,NPOPCHG_2018,NPOPCHG_2019,NPOPCHG_2020,NPOPCHG_2021,6/30/2014,6/30/2015,6/30/2016,6/30/2017,6/30/2018,6/30/2019,6/30/2020,6/30/2021,region_npopchg_2014,region_npopchg_2015,region_npopchg_2016,region_npopchg_2017,region_npopchg_2018,region_npopchg_2019,region_npopchg_2020,region_npopchg_2021
10,0,0,0,United States,2326382,2352665,2332761,2050373,1716071,1491754,1154170,392665,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2326382,2352665,2332761,2050373,1716071,1491754,1154170,392665
20,1,0,0,Northeast Region,108564,31451,10987,19606,1160,-81609,-153065,-365795,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,108564,31451,10987,19606,1160,-81609,-153065,-365795
20,2,0,0,Midwest Region,189052,120106,132493,142167,102677,77072,-23347,-93730,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,189052,120106,132493,142167,102677,77072,-23347,-93730
20,3,0,0,South Region,1269035,1382975,1370324,1191489,1038120,1037388,976210,816322,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1269035,1382975,1370324,1191489,1038120,1037388,976210,816322
20,4,0,0,West Region,759731,818133,818957,697111,574114,458903,354372,35868,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,759731,818133,818957,697111,574114,458903,354372,35868
40,3,6,1,Alabama,12151,11066,12021,11165,13639,16337,13567,15074,122276,125067,128131,131935,138030,144767,153558,173379,1269035,1382975,1370324,1191489,1038120,1037388,976210,816322
40,4,9,2,Alaska,-551,1355,4145,-1592,-4359,-3021,-2445,232,253159,263817,266817,267845,269835,284804,287927,299401,759731,818133,818957,697111,574114,458903,354372,35868
40,4,8,4,Arizona,98183,99937,111957,103321,116140,127615,129558,98330,192673,201324,214289,228259,245741,260138,283430,357187,759731,818133,818957,697111,574114,458903,354372,35868
40,3,7,5,Arkansas,8300,10973,12083,12040,8306,8824,9537,13659,108920,111218,115085,119487,125267,130427,135392,151508,1269035,1382975,1370324,1191489,1038120,1037388,976210,816322
40,4,9,6,California,332938,317590,244890,188599,99678,147,-69532,-261902,418525,440987,472244,503201,544962,552725,573132,677353,759731,818133,818957,697111,574114,458903,354372,35868
40,4,8,8,Colorado,81863,101691,89516,73577,79734,61331,49233,27761,269210,297626,330523,360023,387732,404415,419831,490139,759731,818133,818957,697111,574114,458903,354372,35868
40,1,1,9,Connecticut,-95,-7136,-8731,-4506,-763,-8539,-9016,5337,248012,245904,245086,250672,257729,261356,265580,316668,108564,31451,10987,19606,1160,-81609,-153065,-365795
40,3,5,10,Delaware,9069,8934,7924,7953,9043,9683,10141,11498,226732,233052,240309,245924,257130,263940,269856,308202,1269035,1382975,1370324,1191489,1038120,1037388,976210,816322
